"sample_id","ind","temp","biorep","date_obj","exp_day","TBL","PW","ATAC","AEAC","ALO","AW","WAE","ATCL","PABW","PL","BL","TCL","LTM","LL","TABW","AECL","TATB","centroid","shape_TBL","shape_PW","shape_ATAC","shape_AEAC","shape_ALO","shape_AW","shape_WAE","shape_ATCL","shape_PABW","shape_PL","shape_BL","shape_TCL","shape_LTM","shape_LL","shape_TABW","shape_AECL","shape_TATB","stage"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-10-22,1,0.0614831572709144,0.140102260167351,0.0084960913954594,0.0100115024346999,NA,NA,0.00447780001786592,0.0643581596769205,0.297124545530994,0.305160656214477,0.377713876533878,0.105729694433494,NA,NA,0.389005859667949,0.124148730178766,0.080196012400867,0.00727622907976265,2.13415052733119,2.95775984128242,0.154993477451363,0.319121930981178,NA,NA,-0.485480886086538,2.17985098304997,3.70953865166458,3.73622563515483,3.94952422414932,2.6762730402162,NA,NA,3.97898166245906,2.83686753932109,2.39986104848922,"cydippid"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-10-24,3,0.0818444729777154,0.152237522536331,0.0113272785787231,0.0102096569971768,NA,NA,0.0348320571456811,0.0874160569689574,0.354898298313756,0.313469857693687,0.367917259826853,0.102676729252543,NA,NA,0.395775636099546,0.0832037584307344,0.0958796993789613,0.00861294917013829,2.25155398704126,2.87217516118575,0.273947061874041,0.170067248559059,NA,NA,1.39727135683801,2.31741219570616,3.71856447654642,3.59443641948145,3.75459128720068,2.47831871344118,NA,NA,3.82758068692223,2.2680257319917,2.40982748591138,"cydippid"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-10-26,5,0.118260260273686,0.229331592398431,0.0694164942935036,0.0768346189943051,NA,NA,0.00533973033026937,0.0945675135974294,0.358965332392977,0.374429803642819,0.455485917832813,0.105853036536511,NA,NA,0.477666328727491,0.0989092060427138,0.151114263522673,0.0130166983482732,2.20665476970926,2.86893593640965,1.67389148766809,1.77542228520234,NA,NA,-0.891057869793477,1.98308098747792,3.31699279513403,3.35917132364121,3.55513177883671,2.09581866279445,NA,NA,3.60267941013987,2.02796929711077,2.45180324118252,"cydippid"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-10-27,6,0.113981668999888,0.202755122490161,0.052332081517937,0.0790658830343404,NA,NA,0.00596999999999996,0.0906575509265499,0.394115870154958,0.364095829605339,0.46975129189817,0.0934410428024004,NA,NA,0.48261762925115,0.0883703411784746,0.104175692212723,0.0148916848927968,2.03523464092711,2.61119596144129,1.25680660006333,1.66947847108219,NA,NA,-0.914056068886855,1.80628623503063,3.27584195645927,3.19661410484294,3.45140039218081,1.83652768285471,NA,NA,3.47842168596953,1.78073341002633,1.94527582570565,"cydippid"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-10-28,7,0.11651139854967,0.193324787277783,0.0750037309472001,0.110081360820077,NA,NA,0.0559653668977519,0.146161402086871,0.394883798614225,0.407714456756809,0.527162399744614,0.105084059913957,NA,NA,0.519031066014357,0.116205095378817,0.139751850019955,0.0180076003871027,1.86719519734334,2.37357769765544,1.42674394575739,1.81042582370532,NA,NA,1.13393913865842,2.09391759234149,3.08779762839371,3.11977315599273,3.37671474747405,1.76396668797662,NA,NA,3.36116982631598,1.86456278102801,2.04907443751094,"cydippid"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-10-30,9,0.167177211619886,0.246561926152437,0.094584471817524,0.154981016024544,NA,NA,0.0705581311047851,0.11723775416648,0.643268261832496,0.6235872339186,0.687030799960417,0.135759427694728,NA,NA,0.720820084359475,0.146623977848099,0.186110860123745,0.0530938184004512,1.14699389005517,1.53555267647849,0.577432809725217,1.07124212499019,NA,NA,0.284376417570469,0.792143452627907,2.49450133353735,2.46342815822038,2.56031861659821,0.938823898183747,NA,NA,2.60832906272257,1.01581082858428,1.2542820111661,"cydippid"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-11-01,11,0.212483350361858,0.336668494427382,0.166298030670841,0.162157756188226,NA,NA,0.0703535928080435,0.157467936879226,0.746591205329932,0.743868602828483,0.827386934499814,0.216559897474117,NA,NA,0.85251987606155,0.16305699610259,0.222477677891513,0.0877697357926299,0.884146887681152,1.34438200376929,0.639064797725965,0.613852918648858,NA,NA,-0.221182893642232,0.584505115796032,2.14080104040798,2.13714766375898,2.24355571649487,0.903150425501091,NA,NA,2.2734797775387,0.619383062652342,0.930110026115025,"cydippid"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-11-03,13,0.263027407229741,0.498461484365642,0.262044795676235,0.246542371062258,NA,NA,0.0309851939642145,0.307444196985404,1.1412681555971,1.01434860306233,1.18521874066963,0.222907640714714,NA,NA,1.27489730885785,0.368430308951367,0.284167509200119,0.287415485401999,-0.0886706164551421,0.550597470156623,-0.0924133881925538,-0.153394983772111,NA,NA,-2.22741937686881,0.0673647443576801,1.37896648709902,1.26107306186875,1.41675377461431,-0.254171334731833,NA,NA,1.48969205907413,0.248322719649531,-0.0113649677901646,"cydippid"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-11-05,15,0.315369112767881,0.411659783199671,0.263257069895568,0.237724788274172,NA,NA,0.371422317279132,0.378866642976127,1.18245500871788,0.872227748225915,1.05848461462425,0.475011158122628,NA,NA,1.37392010867372,0.547267201579813,0.278229429133584,0.28660212396524,0.0956488131131582,0.362102313010564,-0.0849639194141963,-0.186981273479451,NA,NA,0.259244810446705,0.279089351393743,1.41725314577524,1.11295564269465,1.30649862912421,0.505243368272069,NA,NA,1.56732839975058,0.646842242401303,-0.0296488682874608,"cydippid"
"1-18-202510-dev-seq-A","1","18","202510-dev-seq-A",2025-11-07,17,0.204256096822102,0.494331620194379,0.21350798053937,0.269102508858613,NA,NA,0.244124373563968,0.530499291223843,0.99258077241754,0.747815966362212,0.913550459488281,0.274430140387312,NA,NA,1.29019070150928,0.66586018292131,0.277303311932981,0.194984933939632,0.0464522893659774,0.930284294178774,0.0907519178147312,0.322170087104639,NA,NA,0.224755529416484,1.00089632826922,1.62738609830755,1.34423461969711,1.54441631809674,0.341774437150423,NA,NA,1.88962302332634,1.22815741921639,0.352189602321109,"cydippid"
